,G#,Date,Tm,Away,Opp,FantPt,Name,Position,Season,Game ID,Player ID,Tier,Diff to Avg,Boxscore
202009140den,1,2020-09-14,TEN,1,DEN,13.1,Derrick Henry ,RB,2020,202009140den,HenrDe00,1,-6.52,"<a href=""https://www.pro-football-reference.com/boxscores/=202009140den.htm"">Boxscore</a>"
202009200oti,2,2020-09-20,TEN,0,JAX,8.4,Derrick Henry ,RB,2020,202009200oti,HenrDe00,1,-11.22,"<a href=""https://www.pro-football-reference.com/boxscores/=202009200oti.htm"">Boxscore</a>"
202009270min,3,2020-09-27,TEN,1,MIN,25.0,Derrick Henry ,RB,2020,202009270min,HenrDe00,1,5.38,"<a href=""https://www.pro-football-reference.com/boxscores/=202009270min.htm"">Boxscore</a>"
202010130oti,4,2020-10-13,TEN,0,BUF,18.3,Derrick Henry ,RB,2020,202010130oti,HenrDe00,1,-1.32,"<a href=""https://www.pro-football-reference.com/boxscores/=202010130oti.htm"">Boxscore</a>"
202010180oti,5,2020-10-18,TEN,0,HOU,38.4,Derrick Henry ,RB,2020,202010180oti,HenrDe00,1,18.78,"<a href=""https://www.pro-football-reference.com/boxscores/=202010180oti.htm"">Boxscore</a>"
202010250oti,6,2020-10-25,TEN,0,PIT,13.2,Derrick Henry ,RB,2020,202010250oti,HenrDe00,1,-6.42,"<a href=""https://www.pro-football-reference.com/boxscores/=202010250oti.htm"">Boxscore</a>"
202011010cin,7,2020-11-01,TEN,1,CIN,17.2,Derrick Henry ,RB,2020,202011010cin,HenrDe00,1,-2.42,"<a href=""https://www.pro-football-reference.com/boxscores/=202011010cin.htm"">Boxscore</a>"
202011080oti,8,2020-11-08,TEN,0,CHI,6.8,Derrick Henry ,RB,2020,202011080oti,HenrDe00,1,-12.82,"<a href=""https://www.pro-football-reference.com/boxscores/=202011080oti.htm"">Boxscore</a>"
202011120oti,9,2020-11-12,TEN,0,IND,10.9,Derrick Henry ,RB,2020,202011120oti,HenrDe00,1,-8.72,"<a href=""https://www.pro-football-reference.com/boxscores/=202011120oti.htm"">Boxscore</a>"
202011220bal,10,2020-11-22,TEN,1,BAL,19.2,Derrick Henry ,RB,2020,202011220bal,HenrDe00,1,-0.42,"<a href=""https://www.pro-football-reference.com/boxscores/=202011220bal.htm"">Boxscore</a>"
202011290clt,11,2020-11-29,TEN,1,IND,36.5,Derrick Henry ,RB,2020,202011290clt,HenrDe00,1,16.88,"<a href=""https://www.pro-football-reference.com/boxscores/=202011290clt.htm"">Boxscore</a>"
202012060oti,12,2020-12-06,TEN,0,CLE,4.9,Derrick Henry ,RB,2020,202012060oti,HenrDe00,1,-14.72,"<a href=""https://www.pro-football-reference.com/boxscores/=202012060oti.htm"">Boxscore</a>"
202012130jax,13,2020-12-13,TEN,1,JAX,34.2,Derrick Henry ,RB,2020,202012130jax,HenrDe00,1,14.58,"<a href=""https://www.pro-football-reference.com/boxscores/=202012130jax.htm"">Boxscore</a>"
202012200oti,14,2020-12-20,TEN,0,DET,23.2,Derrick Henry ,RB,2020,202012200oti,HenrDe00,1,3.58,"<a href=""https://www.pro-football-reference.com/boxscores/=202012200oti.htm"">Boxscore</a>"
202012270gnb,15,2020-12-27,TEN,1,GNB,9.8,Derrick Henry ,RB,2020,202012270gnb,HenrDe00,1,-9.82,"<a href=""https://www.pro-football-reference.com/boxscores/=202012270gnb.htm"">Boxscore</a>"
202101030htx,16,2021-01-03,TEN,1,HOU,35.0,Derrick Henry ,RB,2020,202101030htx,HenrDe00,1,15.38,"<a href=""https://www.pro-football-reference.com/boxscores/=202101030htx.htm"">Boxscore</a>"
